iter	RMSE
0	92019.24316
1	91228.12306
2	90471.6716
3	89755.68063
4	89077.25762
5	88439.90774
6	87827.4524
7	87236.53881
8	86680.41635
9	86150.87294
10	85649.4516
11	85173.38432
12	84721.42596
13	84298.47576
14	83887.87401
15	83501.99164
16	83130.44109
17	82786.65935
18	82453.2957
19	82140.65198
20	81850.03722
21	81577.17311
22	81317.46018
23	81066.81945
24	80830.84865
25	80596.12408
26	80371.9133
27	80154.25727
28	79949.52383
29	79758.87058
30	79577.36047
31	79405.61007
32	79240.1239
33	79085.30706
34	78938.8033
35	78799.08624
36	78670.66701
37	78545.5534
38	78428.69269
39	78321.75351
40	78211.84828
41	78106.03457
42	78012.37369
43	77924.71084
44	77841.40314
45	77755.897
46	77673.84968
47	77598.51881
48	77528.39613
49	77468.76255
50	77406.39232
51	77349.05192
52	77293.99841
53	77235.38229
54	77181.50527
55	77134.88749
56	77085.22922
57	77038.39315
58	76994.53553
59	76965.95078
60	76926.14927
61	76888.97338
62	76860.75151
63	76827.70683
64	76794.42587
65	76764.10884
66	76737.51492
67	76708.15831
68	76680.75286
69	76657.67965
70	76637.15875
71	76614.25708
72	76591.92681
73	76569.72135
74	76552.95942
75	76527.31906
76	76507.30036
77	76485.6529
78	76466.59116
79	76443.73705
80	76425.76721
81	76415.44871
82	76401.09058
83	76379.15918
84	76364.06267
85	76346.95971
86	76335.54219
87	76315.39265
88	76301.37993
89	76291.7506
90	76281.36945
91	76274.09485
92	76263.43495
93	76252.71221
94	76236.26676
95	76225.52379
96	76210.10445
97	76196.5005
98	76181.09069
99	76175.34564
100	76163.34202
101	76154.65713
102	76145.47391
103	76135.48005
104	76124.44169
105	76110.44257
106	76103.02121
107	76089.80583
108	76082.15715
109	76075.48578
110	76067.73657
111	76060.51468
112	76049.61971
113	76038.47028
114	76032.52987
115	76024.73099
116	76017.22593
117	76008.60816
118	76002.1178
119	75990.11481
120	75987.71871
121	75984.34782
122	75980.83787
123	75976.07076
124	75970.23359
125	75966.83523
126	75952.3269
127	75942.37414
128	75935.9005
129	75926.7515
130	75924.0605
131	75911.1751
132	75909.60046
133	75907.57475
134	75906.02592
135	75894.78152
136	75887.71308
137	75879.38505
138	75876.25308
139	75867.82993
140	75861.34683
141	75859.82466
142	75855.45668
143	75852.06314
144	75846.80405
145	75843.31875
146	75841.11127
147	75840.27483
148	75833.36812
149	75826.87028
150	75819.48703
151	75817.68244
152	75815.42518
153	75814.79501
154	75805.09973
155	75803.27741
156	75800.25023
157	75797.68975
158	75797.14059
159	75791.19565
160	75785.34431
161	75780.18489
162	75775.31975
163	75769.0113
164	75765.72546
165	75757.91524
166	75754.40038
167	75753.34143
168	75745.35326
169	75744.18331
170	75735.30466
171	75733.54081
172	75730.01709
173	75728.34558
174	75725.63981
175	75723.2093
176	75717.36562
177	75715.83928
178	75715.23216
179	75711.9759
180	75711.51925
181	75705.07466
182	75697.79652
183	75690.89879
184	75687.511
185	75676.35475
186	75673.97894
187	75673.36184
188	75665.50424
189	75664.56314
190	75658.81983
191	75655.38148
192	75651.22337
193	75641.69963
194	75637.7517
195	75635.56322
196	75634.4066
197	75633.42422
198	75630.14063
199	75629.03278
200	75626.85008
201	75624.10842
202	75623.35247
203	75618.73455
204	75616.68584
205	75616.16928
206	75611.85179
207	75610.38392
208	75607.70132
209	75600.21791
210	75599.19816
211	75595.54181
212	75587.54312
213	75582.55099
214	75579.83426
215	75567.97346
216	75565.45395
217	75561.31919
218	75548.95496
219	75544.72387
220	75537.90213
221	75534.26576
222	75527.09766
223	75525.88642
224	75522.0726
225	75520.34259
226	75519.2503
227	75515.86872
228	75510.8947
229	75510.32574
230	75503.32405
231	75502.65463
232	75500.30402
233	75497.47463
234	75489.8551
235	75487.08258
236	75486.7976
237	75481.95186
238	75479.72933
239	75477.74425
240	75473.68849
241	75466.62453
242	75463.31503
243	75458.58577
244	75456.41411
245	75450.1139
246	75448.45575
247	75440.96464
248	75438.25598
249	75437.78946
250	75428.08751
251	75426.48133
252	75424.68229
253	75424.09229
254	75420.71524
255	75420.60563
256	75414.52416
257	75408.28109
258	75407.94549
259	75403.57732
260	75399.95061
261	75397.47749
262	75396.03586
263	75394.06535
264	75390.22076
265	75388.92934
266	75386.77161
267	75383.84
268	75382.11391
269	75379.11221
270	75373.05034
271	75367.28763
272	75360.875
273	75357.45769
274	75355.01659
275	75352.74408
276	75350.44999
277	75348.77509
278	75346.80915
279	75345.09308
280	75344.43182
281	75343.64971
282	75334.91017
283	75333.7374
284	75330.53883
285	75329.87563
286	75329.62202
287	75327.37593
288	75323.79055
289	75323.2366
290	75321.01178
291	75317.4945
292	75313.00297
293	75306.77754
294	75302.51627
295	75301.10425
296	75299.67231
297	75297.6978
298	75297.67359
299	75290.05988
300	75288.07109
301	75288.00576
302	75286.79952
303	75282.97337
304	75281.84622
305	75281.37721
306	75279.46397
307	75276.99448
308	75263.05945
309	75262.53075
310	75260.89118
311	75256.94138
312	75256.19872
313	75255.17554
314	75254.80689
315	75254.30848
316	75253.42103
317	75252.80637
318	75249.65186
319	75247.24188
320	75247.07682
321	75246.98998
322	75240.94612
323	75239.03084
324	75235.95991
325	75235.64941
326	75234.61012
327	75226.54732
328	75222.93425
329	75220.11212
330	75215.92982
331	75214.57345
332	75213.8392
333	75213.2401
334	75210.85919
335	75209.95897
336	75209.18464
337	75204.78015
338	75201.35426
339	75199.54948
340	75197.47502
341	75195.11605
