iter	Passed	Remaining
0	37	37116
1	56	28377
2	77	25792
3	96	24137
4	117	23447
5	133	22076
6	149	21204
7	168	20929
8	190	20999
9	217	21577
10	234	21117
11	252	20764
12	272	20711
13	288	20337
14	308	20234
15	323	19887
16	344	19939
17	359	19635
18	374	19349
19	392	19256
20	478	22320
21	502	22336
22	524	22296
23	544	22127
24	567	22149
25	592	22200
26	614	22132
27	632	21951
28	649	21762
29	661	21394
30	679	21247
31	697	21085
32	713	20904
33	732	20823
34	750	20697
35	767	20541
36	786	20480
37	810	20506
38	824	20305
39	851	20429
40	886	20742
41	915	20881
42	938	20885
43	961	20900
44	979	20785
45	992	20592
46	1011	20510
47	1035	20537
48	1064	20654
49	1086	20650
50	1110	20656
51	1134	20677
52	1152	20596
53	1168	20464
54	1181	20296
55	1201	20245
56	1283	21234
57	1383	22468
58	1414	22556
59	1453	22771
60	1474	22692
61	1502	22728
62	1529	22745
63	1555	22746
64	1578	22710
65	1596	22591
66	1617	22529
67	1637	22442
68	1656	22355
69	1672	22223
70	1698	22218
71	1719	22160
72	1735	22042
73	1759	22020
74	1779	21943
75	1798	21868
76	1820	21823
77	1841	21770
78	1872	21825
79	1898	21832
80	1948	22106
81	1975	22113
82	1995	22046
83	2015	21974
84	2034	21899
85	2054	21829
86	2074	21767
87	2094	21709
88	2111	21616
89	2119	21427
90	2137	21347
91	2160	21323
92	2176	21223
93	2193	21141
94	2211	21066
95	2231	21016
96	2257	21018
97	2290	21082
98	2309	21015
99	2325	20930
100	2351	20934
101	2369	20857
102	2392	20838
103	2410	20771
104	2429	20708
105	2471	20840
106	2490	20782
107	2511	20746
108	2518	20585
109	2537	20529
110	2556	20476
111	2573	20403
112	2594	20368
113	2626	20411
114	2660	20470
115	2684	20455
116	2703	20406
117	2729	20405
118	2754	20389
119	2779	20381
120	2812	20432
121	2832	20383
122	2857	20374
123	2882	20360
124	2901	20313
125	2916	20228
126	2942	20227
127	2973	20256
128	3006	20302
129	3029	20276
130	3055	20270
131	3074	20217
132	3088	20131
133	3101	20041
134	3123	20013
135	3143	19971
136	3163	19929
137	3180	19867
138	3202	19836
139	3224	19807
140	3253	19819
141	3274	19783
142	3297	19764
143	3317	19720
144	3337	19682
145	3359	19648
146	3375	19584
147	3396	19555
148	3423	19552
149	3443	19511
150	3472	19522
151	3490	19473
152	3508	19423
153	3521	19345
154	3545	19328
155	3562	19273
156	3589	19275
157	3615	19268
158	3641	19263
159	3664	19241
160	3684	19198
161	3713	19208
162	3743	19221
163	3776	19248
164	3799	19226
165	3824	19214
166	3845	19181
167	3871	19172
168	3899	19172
169	3918	19131
170	3931	19061
171	3949	19014
172	3967	18964
173	4002	19001
174	4025	18978
175	4050	18962
176	4072	18934
177	4088	18882
178	4108	18842
179	4124	18791
180	4144	18753
181	4162	18708
182	4193	18721
183	4219	18714
184	4251	18731
185	4276	18717
186	4305	18718
187	4333	18715
188	4360	18709
189	4381	18679
190	4400	18636
191	4421	18606
192	4439	18562
193	4467	18562
194	4494	18555
195	4514	18518
196	4532	18475
197	4550	18431
198	4573	18410
199	4591	18366
200	4613	18338
201	4634	18310
202	4653	18269
203	4675	18241
204	4693	18199
205	4709	18150
206	4740	18158
207	4763	18137
208	4793	18142
209	4830	18172
210	4862	18183
211	4907	18241
212	4946	18275
213	4966	18240
214	4982	18192
215	5011	18191
216	5044	18200
217	5076	18211
218	5092	18161
219	5128	18182
220	5152	18163
221	5166	18107
222	5187	18075
223	5211	18053
224	5228	18010
225	5254	17993
226	5279	17979
227	5307	17969
228	5332	17954
229	5350	17912
230	5368	17870
231	5387	17833
232	5406	17798
233	5427	17768
234	5460	17776
235	5492	17780
236	5525	17788
237	5566	17822
238	5603	17841
239	5621	17800
240	5743	18088
241	5789	18132
242	5818	18126
243	5849	18124
244	5868	18084
245	5898	18080
246	5926	18067
247	5957	18063
248	5981	18041
249	6002	18007
250	6033	18004
251	6054	17972
252	6084	17963
253	6108	17940
254	6135	17924
255	6180	17962
256	6201	17929
257	6224	17900
258	6248	17875
259	6272	17852
260	6300	17840
261	6323	17811
262	6352	17800
263	6374	17772
264	6396	17742
265	6422	17722
266	6453	17716
267	6465	17659
268	6495	17652
269	6527	17647
270	6553	17628
271	6580	17613
272	6623	17637
273	6649	17617
274	6674	17595
275	6700	17577
