iter	RMSE
0	79501.58058
1	79180.80204
2	78873.4588
3	78582.87642
4	78306.25376
5	78047.66616
6	77795.89786
7	77556.04319
8	77335.06338
9	77120.71127
10	76917.77025
11	76730.72525
12	76549.70839
13	76377.72467
14	76215.83769
15	76058.15008
16	75912.48466
17	75775.77921
18	75646.4425
19	75523.4833
20	75402.77304
21	75290.16711
22	75187.41306
23	75088.17329
24	74992.06392
25	74904.85775
26	74819.39157
27	74735.58943
28	74656.25891
29	74584.02734
30	74514.57189
31	74444.45305
32	74377.38158
33	74317.90638
34	74257.93396
35	74200.28799
36	74146.72032
37	74096.43454
38	74045.74566
39	73992.81099
40	73946.15172
41	73906.67743
42	73866.13062
43	73824.01332
44	73790.22878
45	73754.52392
46	73722.56649
47	73689.39548
48	73663.74397
49	73633.25153
50	73597.3314
51	73569.57603
52	73545.03285
53	73516.66635
54	73490.011
55	73467.25526
56	73440.47522
57	73422.10423
58	73397.95093
59	73377.06476
60	73354.80674
61	73335.77148
62	73321.43812
63	73301.78135
64	73279.49541
65	73264.45771
66	73251.92832
67	73234.20758
68	73217.2291
69	73199.39187
70	73182.51557
71	73167.69459
72	73149.42136
73	73126.73401
74	73115.00769
75	73097.55912
76	73079.7818
77	73067.62977
78	73055.95534
79	73044.30108
80	73028.89118
81	73015.9091
82	73007.55145
83	72993.88753
84	72979.76871
85	72972.61231
86	72959.46994
87	72940.7314
88	72926.91534
89	72913.05099
90	72889.67934
91	72874.19322
92	72861.51294
93	72850.47051
94	72842.08207
95	72831.32005
96	72815.84307
97	72799.93369
98	72789.98883
99	72781.89095
100	72771.18558
101	72762.37031
102	72753.97486
103	72735.78701
104	72727.8995
105	72723.97685
106	72710.4828
107	72701.40176
108	72693.87911
109	72688.4284
110	72682.14464
111	72675.92818
112	72672.19319
113	72668.00115
114	72662.4121
115	72656.3518
116	72649.68079
117	72643.9112
118	72628.90768
119	72620.53595
120	72602.00482
121	72593.7479
122	72587.25766
123	72579.6122
124	72574.31913
125	72569.48438
126	72562.1408
127	72551.31179
128	72546.24172
129	72535.86333
130	72531.27073
131	72523.11576
132	72513.68066
133	72504.61455
134	72499.00404
135	72494.68787
136	72491.28305
137	72481.10886
138	72475.80984
139	72472.32086
140	72452.3276
141	72449.63144
142	72441.40888
143	72436.27115
144	72427.99639
145	72422.78248
146	72414.89571
147	72407.39893
148	72403.91149
149	72389.8628
150	72383.28434
151	72378.35094
152	72369.47476
153	72362.95034
154	72346.57459
155	72342.04438
156	72332.3696
157	72328.89429
158	72313.74919
159	72309.91557
160	72303.81018
161	72301.94358
162	72295.88997
163	72293.40489
164	72290.47654
165	72285.017
166	72278.34623
167	72271.4652
168	72262.6743
169	72257.65724
170	72250.65741
171	72243.17888
172	72234.5151
173	72228.09647
174	72220.90642
175	72213.8797
176	72211.02163
177	72206.78525
178	72196.02691
179	72190.69259
180	72180.5375
181	72176.81858
182	72171.53151
183	72168.93645
184	72162.74381
185	72155.98878
186	72153.98527
187	72149.23058
188	72142.13236
189	72130.98302
190	72124.41351
191	72107.77536
192	72098.4622
193	72083.67286
194	72073.96936
195	72066.52602
196	72061.39834
197	72059.0755
198	72042.40838
199	72034.22635
200	72027.9276
201	72016.90992
202	72012.1513
203	72005.06254
204	71999.04409
205	71994.512
206	71989.89943
207	71986.75052
208	71977.74428
209	71971.68593
210	71967.22377
211	71958.33763
212	71951.56217
213	71944.27837
214	71933.36626
215	71928.07283
216	71925.40397
217	71911.97965
218	71908.05928
219	71898.90616
220	71894.31407
221	71888.70288
222	71886.13611
223	71880.75565
224	71876.33299
225	71875.05841
226	71865.25241
227	71859.85422
228	71847.34807
229	71838.77223
230	71836.155
231	71828.11779
232	71823.82415
233	71814.48099
234	71805.29964
235	71801.04251
236	71793.58613
237	71783.96659
238	71769.30849
239	71766.81639
240	71764.34462
241	71755.19134
242	71749.32845
243	71741.53629
244	71726.49065
245	71721.90159
246	71717.96754
247	71713.04063
248	71711.43585
249	71709.95503
250	71703.16129
251	71697.40404
252	71693.22518
253	71690.84057
254	71688.52812
255	71680.48734
256	71673.7067
257	71664.26711
258	71658.18696
259	71652.33586
260	71640.70789
261	71625.79678
262	71619.20054
263	71615.06953
264	71609.9054
265	71604.73806
266	71600.33121
267	71594.20678
268	71584.97597
269	71580.90043
270	71576.90227
271	71565.90264
272	71560.32491
273	71558.01421
274	71549.55517
275	71545.76779
276	71543.51161
277	71538.38619
278	71530.27411
279	71525.46157
280	71511.57129
281	71503.02863
282	71499.19964
283	71494.24791
284	71490.50443
285	71482.79877
286	71471.23778
287	71466.62104
288	71458.80853
289	71456.48761
290	71454.45237
291	71450.72802
292	71438.47535
293	71431.35068
294	71427.77142
295	71422.96664
296	71419.23734
297	71414.77462
298	71408.9333
299	71403.1877
300	71397.74191
301	71392.14558
302	71390.01678
303	71381.90091
304	71376.92359
305	71372.14228
306	71370.05085
307	71363.60204
308	71357.94792
309	71352.16285
310	71345.16874
311	71339.535
312	71325.26965
313	71319.07053
314	71314.01956
315	71309.95161
316	71302.36306
317	71298.89761
318	71289.7098
319	71284.34445
320	71281.39704
321	71276.51094
322	71268.36065
323	71265.08583
324	71258.74422
325	71256.78906
326	71253.13495
327	71249.93058
328	71242.54315
329	71239.32284
330	71236.20023
331	71230.99198
332	71227.66335
333	71223.74192
334	71216.04835
335	71213.23884
336	71203.6707
337	71196.24158
338	71193.26179
339	71185.69348
340	71183.72034
341	71181.67233
342	71166.84566
343	71159.9355
344	71158.61532
345	71152.40893
346	71144.6631
347	71138.72656
348	71133.34871
349	71126.31724
350	71118.51474
351	71113.71313
352	71109.23756
353	71096.30913
354	71091.62631
355	71083.07867
356	71079.94363
357	71068.52849
358	71063.83815
359	71059.32244
360	71054.74517
361	71045.99524
362	71040.29653
363	71035.68432
364	71030.44366
365	71027.42192
366	71016.91269
367	71011.82105
368	71007.40827
369	71005.49822
370	71000.16827
371	70995.37713
372	70990.89838
373	70983.47547
374	70977.54019
375	70973.26344
376	70970.25885
377	70968.39152
378	70961.81364
379	70957.44266
380	70955.65461
381	70952.9857
382	70948.24622
383	70944.23782
384	70937.41352
385	70935.69849
386	70930.16608
387	70923.93339
388	70919.32619
389	70916.37825
390	70912.82964
391	70905.66581
392	70901.31745
393	70899.32464
394	70895.14467
395	70890.61044
396	70886.51687
397	70883.55171
398	70879.56998
399	70873.22849
400	70868.25234
401	70864.00513
402	70862.31705
403	70860.68519
404	70854.55502
405	70848.5971
406	70844.02008
407	70834.73936
408	70830.83189
409	70826.20323
410	70824.61882
411	70816.23688
412	70814.67594
413	70810.34046
414	70805.57907
415	70797.96376
416	70796.08784
417	70791.97303
418	70790.43391
419	70784.98101
420	70781.85993
421	70779.04887
422	70771.83824
423	70769.09113
424	70764.84172
425	70760.62491
426	70758.7423
427	70755.60803
428	70751.80267
429	70749.0862
430	70742.6302
431	70738.9279
432	70734.87916
433	70731.25669
434	70727.76991
435	70723.98256
436	70721.35833
437	70715.58529
438	70710.61183
439	70706.01169
440	70704.62907
441	70699.99693
442	70696.65832
443	70693.34309
444	70690.06295
445	70686.90395
446	70683.72887
447	70679.47356
448	70676.41296
449	70673.33711
450	70670.75469
451	70664.85933
452	70661.28668
453	70658.24265
454	70655.25718
455	70648.67969
456	70645.79414
457	70641.76892
458	70632.36645
459	70628.32751
460	70622.70331
461	70619.85534
462	70613.24946
463	70610.4843
464	70604.46438
465	70601.70054
466	70597.67363
467	70593.94864
468	70585.07132
469	70582.55397
470	70574.23667
471	70568.19978
472	70565.56052
473	70562.9609
474	70560.48897
475	70554.9286
476	70551.92114
477	70549.05567
478	70546.52321
479	70544.03035
480	70541.37883
481	70535.91474
482	70527.82456
483	70525.52321
484	70523.01274
485	70514.89037
486	70511.45637
487	70503.76966
488	70501.31832
489	70495.01368
490	70492.6404
491	70489.08647
492	70485.61615
493	70482.24118
494	70479.8274
495	70477.25024
496	70474.93308
497	70472.80026
498	70470.43132
499	70467.9244
