iter	Passed	Remaining
0	55	55596
1	92	46283
2	126	42135
3	157	39101
4	182	36397
5	207	34305
6	228	32430
7	250	31085
8	283	31251
9	307	30444
10	328	29550
11	351	28899
12	365	27781
13	383	27019
14	398	26174
15	416	25621
16	436	25262
17	459	25065
18	481	24884
19	503	24676
20	518	24166
21	531	23628
22	552	23457
23	565	23003
24	581	22686
25	595	22309
26	616	22208
27	637	22124
28	659	22068
29	677	21903
30	694	21724
31	725	21956
32	746	21870
33	764	21730
34	778	21467
35	795	21306
36	813	21161
37	829	20998
38	846	20848
39	861	20684
40	876	20511
41	900	20536
42	916	20403
43	933	20287
44	955	20278
45	976	20249
46	1003	20337
47	1028	20391
48	1051	20413
49	1068	20308
50	1087	20243
51	1112	20284
52	1136	20298
53	1155	20246
54	1188	20413
55	1233	20791
56	1254	20758
57	1270	20632
58	1292	20611
59	1308	20500
60	1329	20464
61	1355	20511
62	1373	20426
63	1397	20435
64	1417	20387
65	1435	20314
66	1455	20264
67	1476	20234
68	1501	20262
69	1519	20191
70	1542	20185
71	1562	20140
72	1579	20062
73	1606	20098
74	1627	20077
75	1649	20058
76	1672	20042
77	1689	19969
78	1707	19911
79	1728	19879
80	1750	19861
81	1767	19789
82	1787	19747
83	1807	19715
84	1822	19623
85	1854	19707
86	1908	20032
87	1936	20064
88	1958	20046
89	1982	20046
90	1999	19976
91	2023	19970
92	2039	19888
93	2062	19878
94	2091	19924
95	2115	19925
96	2133	19861
97	2154	19831
98	2177	19820
99	2195	19762
100	2219	19753
101	2240	19723
102	2260	19685
103	2278	19627
104	2302	19628
105	2324	19603
106	2343	19556
107	2364	19531
108	2390	19539
109	2407	19478
110	2431	19475
111	2450	19432
112	2469	19387
113	2493	19375
114	2519	19386
115	2540	19361
116	2562	19338
117	2583	19309
118	2605	19292
119	2626	19261
120	2646	19228
121	2671	19225
122	2688	19167
123	2709	19140
124	2732	19130
125	2753	19097
126	2776	19085
127	2804	19103
128	2826	19084
129	2851	19082
130	2873	19061
131	2897	19053
132	2925	19070
133	2947	19048
134	2971	19036
135	2998	19048
136	3019	19020
137	3042	19003
138	3070	19021
139	3090	18982
140	3120	19008
141	3138	18965
142	3160	18941
143	3183	18921
144	3201	18880
145	3219	18834
146	3238	18789
147	3255	18741
148	3275	18706
149	3295	18674
150	3316	18645
151	3335	18611
152	3363	18622
153	3385	18599
154	3406	18571
155	3425	18530
156	3448	18518
157	3463	18459
158	3483	18427
159	3507	18415
160	3527	18381
161	3546	18348
162	3565	18309
163	3591	18305
164	3626	18354
165	3648	18331
166	3674	18330
167	3718	18416
168	3739	18389
169	3769	18402
170	3794	18395
171	3815	18367
172	3844	18376
173	3870	18373
174	3894	18361
175	3915	18333
176	3941	18326
177	3963	18301
178	3988	18295
179	4008	18262
180	4028	18226
181	4052	18213
182	4075	18196
183	4099	18182
184	4117	18138
185	4139	18116
186	4160	18089
187	4184	18075
188	4210	18065
189	4233	18048
190	4256	18029
191	4288	18048
192	4311	18028
193	4335	18014
194	4362	18008
195	4387	17997
196	4413	17988
197	4431	17950
198	4456	17939
199	4481	17925
200	4515	17950
201	4535	17917
202	4561	17908
203	4582	17881
204	4606	17864
205	4624	17823
206	4643	17787
207	4666	17770
208	4696	17775
209	4719	17754
210	4739	17723
211	4763	17704
212	4787	17688
213	4804	17648
214	4826	17620
215	4847	17594
216	4871	17577
217	4889	17538
218	4914	17526
219	4937	17504
220	4961	17488
221	4983	17464
222	5003	17432
223	5029	17423
224	5056	17418
225	5078	17391
226	5101	17371
227	5122	17344
228	5146	17327
229	5173	17319
230	5195	17297
231	5218	17274
232	5235	17235
233	5261	17222
234	5285	17206
235	5339	17284
236	5359	17255
237	5379	17224
238	5399	17191
239	5422	17172
240	5450	17164
241	5473	17145
242	5494	17115
243	5512	17080
244	5536	17061
245	5556	17029
246	5577	17004
247	5597	16971
248	5620	16953
249	5641	16923
250	5661	16894
251	5685	16877
252	5707	16850
253	5785	16992
254	5804	16957
255	5825	16929
256	5848	16908
257	5872	16889
258	5893	16861
259	5916	16838
260	5936	16807
261	5962	16795
262	5987	16779
263	6019	16781
264	6043	16762
265	6061	16726
266	6083	16701
267	6101	16665
268	6124	16644
269	6150	16629
270	6174	16610
271	6207	16613
272	6229	16590
273	6247	16554
274	6269	16529
275	6291	16504
276	6308	16466
277	6328	16434
278	6347	16402
279	6373	16387
280	6395	16365
281	6420	16346
282	6448	16337
283	6467	16306
284	6488	16277
285	6508	16248
286	6529	16220
287	6547	16187
288	6573	16171
289	6596	16150
290	6616	16120
291	6639	16097
292	6654	16057
293	6688	16061
294	6722	16065
295	6746	16044
296	6771	16027
297	6792	16000
298	6806	15958
299	6827	15930
300	6851	15909
301	6872	15884
302	6898	15868
303	6916	15834
304	6936	15805
305	6958	15782
306	6982	15762
307	7002	15732
308	7018	15695
309	7041	15673
310	7066	15654
311	7084	15621
312	7102	15588
313	7117	15550
314	7135	15517
315	7151	15479
316	7177	15464
317	7201	15444
318	7231	15437
319	7253	15413
320	7272	15384
321	7290	15350
322	7313	15329
323	7335	15303
324	7359	15284
325	7380	15259
326	7401	15233
327	7422	15207
328	7445	15185
329	7468	15162
330	7485	15128
331	7504	15098
332	7522	15067
333	7540	15036
334	7557	15001
335	7583	14987
336	7599	14950
337	7618	14920
338	7636	14891
339	7661	14872
340	7693	14868
341	7714	14841
